group,entry_id,role,says,file,path,image,source,src_start,src_end,duration
G1,LTR-A-NAME,sound,A,LTR-A-NAME_sound__A_name.mp3,audio/group1/LTR-A-NAME_sound__A_name.mp3,,master (Ingles con Futbol.mp3),5.70,6.37,0.67
G1,LTR-A-S1,sound,"sonido de A — corta, suena «a»",LTR-A-S1_sound__A_sound_corta.mp3,audio/group1/LTR-A-S1_sound__A_sound_corta.mp3,,master (Ingles con Futbol.mp3),6.76,10.45,3.69
G1,LTR-A-S1,word1,apple,LTR-A-S1_word1__A_word_apple.mp3,audio/group1/LTR-A-S1_word1__A_word_apple.mp3,img/Group 1 A-D/apple.webp,master (Ingles con Futbol.mp3),16.76,17.55,0.79
G1,LTR-A-S1,word2,ant,LTR-A-S1_word2__A_word_ant.mp3,audio/group1/LTR-A-S1_word2__A_word_ant.mp3,img/Group 1 A-D/ant.webp,master (Ingles con Futbol.mp3),18.41,19.30,0.89
G1,LTR-A-S2,sound,"sonido de A — larga, suena «ei»",LTR-A-S2_sound__A_sound_larga.mp3,audio/group1/LTR-A-S2_sound__A_sound_larga.mp3,,master (Ingles con Futbol.mp3),19.67,23.25,3.58
G1,LTR-A-S2,word1,angel,LTR-A-S2_word1__A_word_angel.mp3,audio/group1/LTR-A-S2_word1__A_word_angel.mp3,img/Group 1 A-D/angel.webp,master (Ingles con Futbol.mp3),23.82,24.75,0.93
G1,LTR-A-S2,word2,ape,LTR-A-S2_word2__A_word_ape.mp3,audio/group1/LTR-A-S2_word2__A_word_ape.mp3,img/Group 1 A-D/ape.webp,master (Ingles con Futbol.mp3),25.41,26.14,0.73
G1,U3-AM,sound,am,U3-AM_sound__A_word_am.mp3,audio/group1/U3-AM_sound__A_word_am.mp3,,master (Ingles con Futbol.mp3),2.64,3.63,0.99
G1,U3-AN,sound,an,U3-AN_sound__A_word_an.mp3,audio/group1/U3-AN_sound__A_word_an.mp3,,master (Ingles con Futbol.mp3),34.02,34.91,0.89
G1,U3-AT,sound,at,U3-AT_sound__A_word_at.mp3,audio/group1/U3-AT_sound__A_word_at.mp3,,master (Ingles con Futbol.mp3),35.78,36.65,0.87
G1,LTR-B-NAME,sound,B,LTR-B-NAME_sound__B_name.mp3,audio/group1/LTR-B-NAME_sound__B_name.mp3,,master (Ingles con Futbol.mp3),37.37,38.21,0.84
G1,LTR-B-S1,sound,sonido de B — suena «b»,LTR-B-S1_sound__B_sound_b.mp3,audio/group1/LTR-B-S1_sound__B_sound_b.mp3,,master (Ingles con Futbol.mp3),38.58,41.62,3.04
G1,LTR-B-S1,word1,banana,LTR-B-S1_word1__B_word_banana.mp3,audio/group1/LTR-B-S1_word1__B_word_banana.mp3,img/Group 1 A-D/banana.webp,master (Ingles con Futbol.mp3),42.54,43.55,1.01
G1,LTR-B-S1,word2,ball,LTR-B-S1_word2__B_word_ball.mp3,audio/group1/LTR-B-S1_word2__B_word_ball.mp3,img/Group 1 A-D/ball.webp,master (Ingles con Futbol.mp3),44.25,45.12,0.87
G1,U2-BA,sound,ba,U2-BA_sound__B_syllable_ba.mp3,audio/group1/U2-BA_sound__B_syllable_ba.mp3,,master (Ingles con Futbol.mp3),45.94,46.64,0.70
G1,U2-BA,word1,bat,U2-BA_word1__B_word_bat.mp3,audio/group1/U2-BA_word1__B_word_bat.mp3,img/Group 1 A-D/bat.webp,master (Ingles con Futbol.mp3),47.34,48.26,0.92
G1,U2-BA,word2,bag,U2-BA_word2__B_word_bag.mp3,audio/group1/U2-BA_word2__B_word_bag.mp3,img/Group 1 A-D/bag.webp,master (Ingles con Futbol.mp3),48.82,49.71,0.89
G1,U2-BE,sound,be,U2-BE_sound__B_syllable_be.mp3,audio/group1/U2-BE_sound__B_syllable_be.mp3,,master (Ingles con Futbol.mp3),50.17,50.95,0.78
G1,U2-BE,word1,bed,U2-BE_word1__B_word_bed.mp3,audio/group1/U2-BE_word1__B_word_bed.mp3,img/Group 1 A-D/bed.webp,master (Ingles con Futbol.mp3),51.28,52.08,0.80
G1,U2-BE,word2,bell,U2-BE_word2__B_word_bell.mp3,audio/group1/U2-BE_word2__B_word_bell.mp3,img/Group 1 A-D/bell.webp,master (Ingles con Futbol.mp3),52.67,53.64,0.97
G1,U2-BI,sound,bi,U2-BI_sound__B_syllable_bi.mp3,audio/group1/U2-BI_sound__B_syllable_bi.mp3,,master (Ingles con Futbol.mp3),53.97,54.70,0.73
G1,U2-BI,word1,big,U2-BI_word1__B_word_big.mp3,audio/group1/U2-BI_word1__B_word_big.mp3,img/Group 1 A-D/big.webp,master (Ingles con Futbol.mp3),55.00,55.93,0.93
G1,U2-BI,word2,bin,U2-BI_word2__B_word_bin.mp3,audio/group1/U2-BI_word2__B_word_bin.mp3,img/Group 1 A-D/bin.webp,master (Ingles con Futbol.mp3),56.35,57.14,0.79
G1,U2-BO,sound,bo,U2-BO_sound__B_syllable_bo.mp3,audio/group1/U2-BO_sound__B_syllable_bo.mp3,,master (Ingles con Futbol.mp3),57.61,58.45,0.85
G1,U2-BO,word1,bot,U2-BO_word1__B_word_bot.mp3,audio/group1/U2-BO_word1__B_word_bot.mp3,img/Group 1 A-D/bot.webp,master (Ingles con Futbol.mp3),58.52,59.44,0.92
G1,U2-BO,word2,bottle,U2-BO_word2__B_word_bottle.mp3,audio/group1/U2-BO_word2__B_word_bottle.mp3,img/Group 1 A-D/bottle.webp,master (Ingles con Futbol.mp3),59.75,60.60,0.85
G1,U2-BU,sound,bu,U2-BU_sound__B_syllable_bu.mp3,audio/group1/U2-BU_sound__B_syllable_bu.mp3,,master (Ingles con Futbol.mp3),60.99,61.84,0.85
G1,U2-BU,word1,bus,U2-BU_word1__B_word_bus.mp3,audio/group1/U2-BU_word1__B_word_bus.mp3,img/Group 1 A-D/bus.webp,master (Ingles con Futbol.mp3),62.07,62.90,0.83
G1,U2-BU,word2,bug,U2-BU_word2__B_word_bug.mp3,audio/group1/U2-BU_word2__B_word_bug.mp3,img/Group 1 A-D/bug.webp,master (Ingles con Futbol.mp3),63.28,63.94,0.66
G1,LTR-C-NAME,sound,C,LTR-C-NAME_sound__C_name.mp3,audio/group1/LTR-C-NAME_sound__C_name.mp3,,master (Ingles con Futbol.mp3),64.78,65.65,0.87
G1,LTR-C-S1,sound,"sonido de C — fuerte, suena «k»",LTR-C-S1_sound__C_sound_fuerte.mp3,audio/group1/LTR-C-S1_sound__C_sound_fuerte.mp3,,master (Ingles con Futbol.mp3),4.75,7.76,3.01
G1,LTR-C-S1,word1,color,LTR-C-S1_word1__C_word_color.mp3,audio/group1/LTR-C-S1_word1__C_word_color.mp3,img/Group 1 A-D/color.webp,master (Ingles con Futbol.mp3),69.80,70.78,0.98
G1,LTR-C-S1,word2,cat,LTR-C-S1_word2__C_word_cat.mp3,audio/group1/LTR-C-S1_word2__C_word_cat.mp3,img/Group 1 A-D/cat.webp,master (Ingles con Futbol.mp3),71.21,72.11,0.90
G1,LTR-C-S2,sound,"sonido de C — suave, suena «s»",LTR-C-S2_sound__C_sound_suave.mp3,audio/group1/LTR-C-S2_sound__C_sound_suave.mp3,,master (Ingles con Futbol.mp3),8.43,11.99,3.56
