group,folder,entry_id,slot,word,file,path,width,height,bytes,status
G2 E-H,Group 2 E-H,LTR-E-S1,word1,Elephant,elephant.webp,img/Group 2 E-H/elephant.webp,554,554,32932,OK
G2 E-H,Group 2 E-H,LTR-E-S1,word2,Elbow,elbow.webp,img/Group 2 E-H/elbow.webp,678,452,9444,OK
G2 E-H,Group 2 E-H,LTR-E-S2,word1,Eat,eat.webp,img/Group 2 E-H/eat.webp,418,350,11758,OK
G2 E-H,Group 2 E-H,LTR-E-S2,word2,Eagle,eagle.webp,img/Group 2 E-H/eagle.webp,399,501,30098,OK
G2 E-H,Group 2 E-H,LTR-F-S1,word1,Flower,flower.webp,img/Group 2 E-H/flower.webp,387,516,10334,OK
G2 E-H,Group 2 E-H,LTR-F-S1,word2,Face,face.webp,img/Group 2 E-H/face.webp,554,554,8644,OK
G2 E-H,Group 2 E-H,LTR-G-S1,word1,Gorilla,gorilla.webp,img/Group 2 E-H/gorilla.webp,447,447,27188,OK
G2 E-H,Group 2 E-H,LTR-G-S1,word2,Goat,goat.webp,img/Group 2 E-H/goat.webp,390,512,23774,OK
G2 E-H,Group 2 E-H,LTR-G-S2,word1,Giant,giant.webp,img/Group 2 E-H/giant.webp,468,654,60730,OK
G2 E-H,Group 2 E-H,LTR-G-S2,word2,Giraffe,giraffe.webp,img/Group 2 E-H/giraffe.webp,452,678,51766,OK
G2 E-H,Group 2 E-H,LTR-H-S1,word1,Hotel,hotel.webp,img/Group 2 E-H/hotel.webp,547,365,20562,OK
G2 E-H,Group 2 E-H,LTR-H-S1,word2,Human,human.webp,img/Group 2 E-H/human.webp,225,225,4300,OK
G2 E-H,Group 2 E-H,U2-FA,word1,Fan,fan.webp,img/Group 2 E-H/fan.webp,408,800,45308,OK
G2 E-H,Group 2 E-H,U2-FA,word2,Family,family.webp,img/Group 2 E-H/family.webp,350,350,11712,OK
G2 E-H,Group 2 E-H,U2-FE,word1,Fence,fence.webp,img/Group 2 E-H/fence.webp,479,300,29412,OK
G2 E-H,Group 2 E-H,U2-FE,word2,Festival,festival.webp,img/Group 2 E-H/festival.webp,547,365,42890,OK
G2 E-H,Group 2 E-H,U2-FI,word1,Fish,fish.webp,img/Group 2 E-H/fish.webp,678,452,9880,OK
G2 E-H,Group 2 E-H,U2-FI,word2,Finger,finger.webp,img/Group 2 E-H/finger.webp,447,447,6342,OK
G2 E-H,Group 2 E-H,U2-FO,word1,Fog,fog.webp,img/Group 2 E-H/fog.webp,678,452,8636,OK
G2 E-H,Group 2 E-H,U2-FO,word2,Fossil,fossil.webp,img/Group 2 E-H/fossil.webp,679,450,52138,OK
G2 E-H,Group 2 E-H,U2-FU,word1,Fun,fun.webp,img/Group 2 E-H/fun.webp,590,338,22190,OK
G2 E-H,Group 2 E-H,U2-FU,word2,Fuzzy,fuzzy.webp,img/Group 2 E-H/fuzzy.webp,316,280,4728,OK
G2 E-H,Group 2 E-H,U2-GA,word1,Gas,gas.webp,img/Group 2 E-H/gas.webp,447,447,4108,OK
G2 E-H,Group 2 E-H,U2-GA,word2,Galaxy,galaxy.webp,img/Group 2 E-H/galaxy.webp,625,490,30578,OK
G2 E-H,Group 2 E-H,U2-GE,word1,Gem,gem.webp,img/Group 2 E-H/gem.webp,547,365,14450,OK
G2 E-H,Group 2 E-H,U2-GE,word2,Gel,gel.webp,img/Group 2 E-H/gel.webp,447,447,17428,OK
G2 E-H,Group 2 E-H,U2-GI,word1,Ginger,ginger.webp,img/Group 2 E-H/ginger.webp,580,528,20494,OK
G2 E-H,Group 2 E-H,U2-GI,word2,Giraffe,giraffe.webp,img/Group 2 E-H/giraffe.webp,452,678,51766,OK
G2 E-H,Group 2 E-H,U2-GO,word1,Golf,golf.webp,img/Group 2 E-H/golf.webp,738,414,43126,OK
G2 E-H,Group 2 E-H,U2-GO,word2,Goal,goal.webp,img/Group 2 E-H/goal.webp,678,452,80036,OK
G2 E-H,Group 2 E-H,U2-GU,word1,Gum,gum.webp,img/Group 2 E-H/gum.webp,225,225,9894,OK
G2 E-H,Group 2 E-H,U2-GU,word2,Gull,gull.webp,img/Group 2 E-H/gull.webp,392,510,9112,OK
G2 E-H,Group 2 E-H,U2-HA,word1,Hat,hat.webp,img/Group 2 E-H/hat.webp,486,411,12908,OK
G2 E-H,Group 2 E-H,U2-HA,word2,Hammock,hammock.webp,img/Group 2 E-H/hammock.webp,547,365,46480,OK
G2 E-H,Group 2 E-H,U2-HE,word1,Hen,hen.webp,img/Group 2 E-H/hen.webp,452,678,65366,OK
G2 E-H,Group 2 E-H,U2-HE,word2,Helicopter,helicopter.webp,img/Group 2 E-H/helicopter.webp,678,452,22690,OK
G2 E-H,Group 2 E-H,U2-HI,word1,Hit,hit.webp,img/Group 2 E-H/hit.webp,301,250,14974,OK
G2 E-H,Group 2 E-H,U2-HI,word2,Hippopotamus,hippopotamus.webp,img/Group 2 E-H/hippopotamus.webp,633,404,29116,OK
G2 E-H,Group 2 E-H,U2-HO,word1,Hot,hot.webp,img/Group 2 E-H/hot.webp,554,554,15922,OK
G2 E-H,Group 2 E-H,U2-HO,word2,Hospital,hospital.webp,img/Group 2 E-H/hospital.webp,768,429,39402,OK
