word,folder,file,path,width,height,bytes
angel,Group 1 A-D,angel.webp,img/Group 1 A-D/angel.webp,465,660,16930
ant,Group 1 A-D,ant.webp,img/Group 1 A-D/ant.webp,590,518,12570
ape,Group 1 A-D,ape.webp,img/Group 1 A-D/ape.webp,736,589,27638
apple,Group 1 A-D,apple.webp,img/Group 1 A-D/apple.webp,553,553,17664
bag,Group 1 A-D,bag.webp,img/Group 1 A-D/bag.webp,447,447,9742
ball,Group 1 A-D,ball.webp,img/Group 1 A-D/ball.webp,554,554,91892
banana,Group 1 A-D,banana.webp,img/Group 1 A-D/banana.webp,475,421,4490
bat,Group 1 A-D,bat.webp,img/Group 1 A-D/bat.webp,800,532,27180
bed,Group 1 A-D,bed.webp,img/Group 1 A-D/bed.webp,678,452,12128
bell,Group 1 A-D,bell.webp,img/Group 1 A-D/bell.webp,447,447,4502
big,Group 1 A-D,big.webp,img/Group 1 A-D/big.webp,677,627,16606
bin,Group 1 A-D,bin.webp,img/Group 1 A-D/bin.webp,503,456,8054
book,Group 1 A-D,book.webp,img/Group 1 A-D/book.webp,547,365,19426
bot,Group 1 A-D,bot.webp,img/Group 1 A-D/bot.webp,800,597,30408
bottle,Group 1 A-D,bottle.webp,img/Group 1 A-D/bottle.webp,554,554,22952
bug,Group 1 A-D,bug.webp,img/Group 1 A-D/bug.webp,638,480,13746
bus,Group 1 A-D,bus.webp,img/Group 1 A-D/bus.webp,432,432,32800
camera,Group 1 A-D,camera.webp,img/Group 1 A-D/camera.webp,800,533,26244
cat,Group 1 A-D,cat.webp,img/Group 1 A-D/cat.webp,674,455,21946
cell,Group 1 A-D,cell.webp,img/Group 1 A-D/cell.webp,393,508,10790
center,Group 1 A-D,center.webp,img/Group 1 A-D/center.webp,781,506,69674
chair,Group 1 A-D,chair.webp,img/Group 1 A-D/chair.webp,447,447,11536
cheese,Group 1 A-D,cheese.webp,img/Group 1 A-D/cheese.webp,580,528,33812
circus,Group 1 A-D,circus.webp,img/Group 1 A-D/circus.webp,547,350,20606
city,Group 1 A-D,city.webp,img/Group 1 A-D/city.webp,800,492,84578
color,Group 1 A-D,color.webp,img/Group 1 A-D/color.webp,279,278,4742
comic,Group 1 A-D,comic.webp,img/Group 1 A-D/comic.webp,527,800,56768
cup,Group 1 A-D,cup.webp,img/Group 1 A-D/cup.webp,554,554,6262
cut,Group 1 A-D,cut.webp,img/Group 1 A-D/cut.webp,498,325,4388
dad,Group 1 A-D,dad.webp,img/Group 1 A-D/dad.webp,380,526,11882
dance,Group 1 A-D,dance.webp,img/Group 1 A-D/dance.webp,358,471,14314
dentist,Group 1 A-D,dentist.webp,img/Group 1 A-D/dentist.webp,759,417,19512
desk,Group 1 A-D,desk.webp,img/Group 1 A-D/desk.webp,500,500,4256
dictionary,Group 1 A-D,dictionary.webp,img/Group 1 A-D/dictionary.webp,490,800,70728
dig,Group 1 A-D,dig.webp,img/Group 1 A-D/dig.webp,402,342,7206
doctor,Group 1 A-D,doctor.webp,img/Group 1 A-D/doctor.webp,592,405,28688
dog,Group 1 A-D,dog.webp,img/Group 1 A-D/dog.webp,800,600,48872
duck,Group 1 A-D,duck.webp,img/Group 1 A-D/duck.webp,640,480,42824
dust,Group 1 A-D,dust.webp,img/Group 1 A-D/dust.webp,479,640,53294
egg,Group 1 A-D,egg.webp,img/Group 1 A-D/egg.webp,664,462,26484
feather,Group 1 A-D,feather.webp,img/Group 1 A-D/feather.webp,466,659,6312
frog,Group 1 A-D,frog.webp,img/Group 1 A-D/frog.webp,266,190,4514
girl,Group 1 A-D,girl.webp,img/Group 1 A-D/girl.webp,292,350,6012
house,Group 1 A-D,house.webp,img/Group 1 A-D/house.webp,800,800,10244
king,Group 1 A-D,king.webp,img/Group 1 A-D/king.webp,525,583,27226
kite,Group 1 A-D,kite.webp,img/Group 1 A-D/kite.webp,490,625,13764
monkey,Group 1 A-D,monkey.webp,img/Group 1 A-D/monkey.webp,680,451,21278
mother,Group 1 A-D,mother.webp,img/Group 1 A-D/mother.webp,678,452,26706
net,Group 1 A-D,net.webp,img/Group 1 A-D/net.webp,554,554,16730
phone,Group 1 A-D,phone.webp,img/Group 1 A-D/phone.webp,225,225,4754
sheep,Group 1 A-D,sheep.webp,img/Group 1 A-D/sheep.webp,182,277,11442
shoe,Group 1 A-D,shoe.webp,img/Group 1 A-D/shoe.webp,447,447,29192
snake,Group 1 A-D,snake.webp,img/Group 1 A-D/snake.webp,800,600,32996
three,Group 1 A-D,three.webp,img/Group 1 A-D/three.webp,447,447,8960
thumb,Group 1 A-D,thumb.webp,img/Group 1 A-D/thumb.webp,350,350,4496
tree,Group 1 A-D,tree.webp,img/Group 1 A-D/tree.webp,554,554,56402
up,Group 1 A-D,up.webp,img/Group 1 A-D/up.webp,345,579,2610
whale,Group 1 A-D,whale.webp,img/Group 1 A-D/whale.webp,678,452,16954
wheel,Group 1 A-D,wheel.webp,img/Group 1 A-D/wheel.webp,447,447,12550
yoyo,Group 1 A-D,yoyo.webp,img/Group 1 A-D/yoyo.webp,447,447,9734
