id,file,duration,anchor,word1,word2,content,src_start,src_end
LTR-A-NAME,LTR-A-NAME.m4a,1.106,0.2,,,A,1.22,2.32
LTR-B-NAME,LTR-B-NAME.m4a,0.972,0.2,,,B,2.57,3.54
LTR-C-NAME,LTR-C-NAME.m4a,1.167,0.2,,,C,3.76,4.93
LTR-D-NAME,LTR-D-NAME.m4a,1.079,0.2,,,D,5.16,6.24
LTR-A-S2,LTR-A-S2.m4a,3.914,0.2,1.68,3.21,ei/angel/ape,7.93,11.85
LTR-B-S1,LTR-B-S1.m4a,3.945,0.2,1.49,3.07,b/banana/ball,12.53,16.47
LTR-C-S1,LTR-C-S1.m4a,3.95,0.2,1.55,2.95,k/color/cat,16.8,20.75
LTR-C-S2,LTR-C-S2.m4a,3.777,0.2,1.41,2.77,s/cell/city,21.07,24.85
LTR-D-S1,LTR-D-S1.m4a,3.979,0.2,1.57,3.04,d/doctor/dog,25.25,29.23
U3-AT,U3-AT.m4a,1.158,0.2,,,at,29.77,30.93
U3-AN,U3-AN.m4a,1.071,0.2,,,an,31.17,32.24
U3-AM,U3-AM.m4a,1.07,0.2,,,am,32.49,33.56
U2-BA,U2-BA.m4a,4.185,0.2,1.66,3.13,ba/bat/bag,33.86,38.05
U2-BE,U2-BE.m4a,4.183,0.13,1.82,3.18,be/bed/bell,38.08,42.26
U2-BI,U2-BI.m4a,3.434,0.2,0.99,2.65,bi/big/bin,42.35,45.79
U2-BO,U2-BO.m4a,3.746,0.2,1.51,3.01,bo/bot/bottle,45.95,49.69
U2-BU,U2-BU.m4a,3.364,0.2,1.53,2.68,bu/bus/bug,49.89,53.25
U2-CA,U2-CA.m4a,3.597,0.2,1.38,3.31,ca/cat/camera,53.64,57.24
U2-CE_take1,U2-CE_take1.m4a,3.468,0.09,1.27,2.56,ce/cell/center,57.26,60.73
U2-CI,U2-CI.m4a,3.526,0.2,1.31,2.5,ci/city/circus,60.91,64.44
U2-CE,U2-CE.m4a,3.61,0.2,1.53,2.69,ce/cell/center,64.52,68.13
U2-CO,U2-CO.m4a,3.382,0.2,1.41,2.38,co/comic/color,68.31,71.69
U2-CU,U2-CU.m4a,3.481,0.2,1.39,2.7,cu/cup/cut,71.89,75.37
U2-DA,U2-DA.m4a,3.077,0.2,1.28,2.38,da/dad/dance,75.58,78.65
U2-DE,U2-DE.m4a,3.571,0.2,1.66,2.79,de/desk/dentist,78.75,82.32
U2-DI,U2-DI.m4a,3.512,0.19,0.9,2.51,di/dig/dictionary,82.36,85.87
U2-DO,U2-DO.m4a,2.936,0.08,1.18,2.23,do/dog/doctor,85.89,88.83
U2-DU,U2-DU.m4a,3.501,0.2,1.47,2.67,du/duck/dust,88.91,92.41
LTR-A-S1,LTR-A-S1.m4a,3.934,0.2,1.49,3.04,a/apple/ant,94.31,assembled
